prop_sb_type,is_offplan,area,project,master_project,nearest_landmark,nearest_metro,nearest_mall,rooms,has_parking,procedure_area,date_year,month_sin,month_cos,community_30d_avg_price,off_plan_vol_ratio,prop_type_Land,prop_type_Unit,prop_type_Villa,usage_Commercial,usage_Hospitality_,usage_Industrial,usage_Multi_Use,usage_Other,usage_Residential,usage_Storage,procedure_Other,procedure_Sell,procedure_Sell___Pre_registration,procedure_Sell_Development
-30707.339358348614,-11646.982205094155,46090.05963078696,152669.72900420995,24745.32536458092,38435.66183203366,10640.172813832656,7761.557291775975,-33337.35452645159,-131.04473096773756,-1667517.7051228466,10783.610446170158,1049.146540496161,-217.47911990736384,303722.3428027788,42271.275376772275,20611.206056953135,-51130.74410918814,2628.0031187613095,-5648.117155938811,152.79835576641338,0.0,0.0,-186.8383083850897,-22286.909788335102,0.0,0.0,-38473.583351774185,-10035.594657450112,0.0
-24239.43582563749,18185.6668536106,45006.08713079292,255627.85626432474,6199.04278135447,14385.445224535928,6387.200676868709,-2347.140271483452,15202.718897952143,7089.268121767736,341983.88249668083,-2474.1226698264472,1828.690717872891,16400.787462162032,408819.0898732738,71853.56378105974,9921.422300040424,-27548.842505616583,279.21292751454894,-8619.440469498322,-1241.4613072585748,0.0,0.0,-314.9161374114792,-11640.784497129356,0.0,0.0,57432.842923320735,9483.21930281277,0.0
-11778.495877499436,-11591.040514092634,34491.31803892958,248182.83887276586,26929.886905762523,5177.22311586575,7265.5463047901485,-1885.6368159161548,-96717.23414518249,3936.303896064026,-1178207.3862669058,6720.047980076795,3156.7498483087375,-1092.770768856958,369945.0039747668,30182.559694650503,9624.873966721958,-27727.966796063403,1450.4771436018689,-7017.532287243468,-248.79336917781802,0.0,0.0,26.210545592138715,-4031.2587055476315,0.0,2.3740621524175336,29034.42360474968,-18168.510121048574,0.0
-27079.21496917212,-7175.924156733929,54742.67285618132,147907.03163308193,17804.73899474129,39342.9811858929,9910.56443329651,-5834.951175112713,-88833.67506873283,-64.6885259266972,-1122280.324091003,13993.168421084216,4251.337594786394,6969.409171807417,320800.79838963423,62105.07630865893,20553.018006720456,-37051.70613040196,1937.545478835714,-6027.699852738586,267.5805238945322,0.0,0.0,-163.22299510670786,-3542.701367018455,0.0,0.0,-68472.10695487994,-10149.173628789415,0.0
-39042.16454766599,-3071.602899589128,58057.74754335716,-134056.9494512336,27433.018034157976,45768.15837489581,695.7855139738422,2700.0161793395764,-81211.83251253756,1624.8667320137122,-1203227.527659975,17212.946120549226,4357.439192491884,961.2179185068937,320706.058833214,45942.51841881081,18768.707427291407,-35334.43088761611,3105.732282732957,-6025.3923207279295,-9.746473180058068,0.0,0.0,810.2712482094405,-4799.279921775251,0.0,-379.3591622631584,-35755.67618628669,-6832.729113699687,0.0
-36555.0377534379,-12469.798904501125,54824.262126950125,100800.50404979588,29973.444507933567,38812.84181568385,9635.819342435909,3119.7266327818625,-106530.2872141933,89.43200398259512,-1256758.199306447,13029.218406097212,3235.1778550990553,-6180.9634638811585,304585.19369891146,61323.64583976852,19160.10997079838,-36801.62201095904,2314.4523720166453,-3975.823163687541,-626.4203178769683,0.0,0.0,625.4603662292782,-4557.290267078797,0.0,-6.90219623802999,-45885.94252875283,-16087.322096107244,0.0
-5629.09553395336,-18552.689894775925,2487.244752818498,-335831.0287323404,-14971.089807931701,-15425.059057748189,11083.03213389706,-3598.091500561983,-77743.4724010366,3444.798317245625,-713940.3410231038,13158.802844388607,1955.259919160845,4770.276121258636,-56502.34528531628,18683.974887743643,5581.115180344463,-22756.825885445385,-213.07527685701683,-3033.2115583128107,-39.03014141740878,0.0,0.0,3315.2513485853196,-2175.030576786037,0.0,-8.035919261255126,15561.141379384382,-35806.18755065523,-135976.2737855279
-32112.93176543468,-3931.3245052555203,61323.64817941695,-160500.70327955825,33839.187530900344,43940.789586585204,3686.6074970863306,9462.488402448262,-27554.838945726227,-707.207271356147,-1475949.5610946722,13257.642889584697,3820.3816076537178,887.09309971292,306782.516769679,36563.10787906594,18926.728226998755,-44438.10450249854,4011.788982495843,-6566.535097453245,278.95667715865756,0.0,0.0,590.8342830960328,-3942.314851109938,0.0,-15.244792472472941,-34804.41206890971,-5042.260896796878,0.0
238525.6866750295,15033.247463208201,205511.1510514089,-249679.64693644718,225244.71178041524,-16129.794464567418,3980.0090802218,417485.34390962106,93644.95883853361,37355.853320058035,2153456.7825351423,41465.218791297826,13980.821194126342,25954.381588509037,-294448.87644283555,246838.14971915697,58934.2634980142,302952.1824810558,19379.140633491625,583978.9879823505,-2326.34520238103,0.0,0.0,2170.8691439055365,82784.21677930976,0.0,0.0,14498.783555640453,54668.63823777469,0.0
-24021.93486624375,-38881.39974650013,25947.58445120594,353486.4722080898,106506.77415713268,3783.0260584345724,23646.94631597853,82343.0476878155,37435.8974770596,4866.723393414427,-566481.8316643292,7801.313670452269,-2453.774491993176,-15564.036164960347,507748.24945908866,1477.4437692476574,15036.06791208982,-23861.551275176316,43.41518289400639,-3124.7654403174633,-1558.2264443943864,0.0,0.0,3887.964938241035,-3310.1698933129273,0.0,0.0,-50433.04737707741,-31317.569735568777,0.0
-8700.037025819456,-36410.539434002596,6011.626108339118,-88375.33802554704,-138504.68298855546,2728.716381690952,-41980.57382502228,31285.207782514266,-77966.5753954197,6542.464321861416,-701732.9709929918,13721.550310552404,1396.749547881387,7099.960075227866,-232052.61178323856,-14003.333652135185,15652.92507335261,-21781.17271315671,-508.65430452445815,-3479.674452110211,5.454140395059241,0.0,0.0,1731.2706668276228,-2350.4031361963494,0.0,-79.51263850191603,-37613.22770454662,-48752.36845410663,53.8131457925721
-5754.843831109708,-22727.843440433884,2419.2076244813,-93511.9781705826,-123552.65618575868,3350.647457316524,-41203.79472899364,28055.64198633987,-44859.666340862954,5959.323029369308,-791858.5078180657,12562.546392862485,1990.2211008508211,6489.687734484616,-229600.71901123365,-13085.89765204961,15906.809167063351,-26137.02563281216,-287.0895293938814,-3911.0182301553923,28.37675058326647,0.0,0.0,1703.7098311700079,-2537.6561695087103,0.0,-226.81303529255635,-38995.39330816046,-52836.63123028552,0.0
-5597.758892132824,-23084.540007319792,5800.481709133308,-92075.96291574041,-127569.46704771268,3368.292582225947,-41201.70324697115,28759.627508458736,-44972.97593926062,5905.367359128914,-777249.0952623587,12721.213060552167,2046.4045049274873,6210.463233589437,-231177.84508496226,-18221.640595703542,15994.01911462512,-26196.289999926666,-282.10391067111436,-4225.340664571726,26.574987808461373,0.0,0.0,1904.379949081652,-2588.046763613804,0.0,-233.1782602590967,-38686.84637536024,-52960.94266772528,0.0
